delayCode,description,Male1(e),Male1(m),Female1(e),Female1(m)
906,This train has been delayed by the communication alarm being activated on this train,disruption-reason.e.the emergency communication cord being activated on this train,disruption-reason.m.the emergency communication cord being activated on this train,disruption-reason.e.the emergency communication cord being activated on this train,disruption-reason.m.the emergency communication cord being activated on this train
907,This train has been delayed by the train departing late to maintain customer connections,disruption-reason.e.being held awaiting a late running connection,disruption-reason.m.being held awaiting a late running connection,disruption-reason.e.being held awaiting a late running connection,disruption-reason.m.being held awaiting a late running connection
908,This train has been delayed by the train making extra stops because a train was cancelled,disruption-reason.e.this train making additional stops on its journey,disruption-reason.m.this train making additional stops on its journey,disruption-reason.e.this train making additional stops on its journey,disruption-reason.m.this train making additional stops on its journey
909,This train has been delayed by the train making extra stops because of service disruption,disruption-reason.e.this train making additional stops on its journey,disruption-reason.m.this train making additional stops on its journey,disruption-reason.e.this train making additional stops on its journey,disruption-reason.m.this train making additional stops on its journey
910,This train has been delayed by waiting for a part of the train to be attached,disruption-reason.e.additional coaches being attached to this train,disruption-reason.m.additional coaches being attached to this train,disruption-reason.e.additional coaches being attached to this train,disruption-reason.m.additional coaches being attached to this train
911,This train has been delayed by a fault on a train,disruption-reason.e.a fault on a preceding train,disruption-reason.m.a fault on a preceding train,disruption-reason.e.a fault on a preceding train,disruption-reason.m.a fault on a preceding train
912,This train has been delayed by a problem with platform equipment,disruption-reason.e.a temporary fault on the station lighting,disruption-reason.m.a temporary fault on the station lighting,disruption-reason.e.a temporary fault on the station lighting,disruption-reason.m.a temporary fault on the station lighting
913,This train has been delayed by a fault on a train earlier,disruption-reason.e.a fault on a preceding train that has now been rectified,disruption-reason.m.a fault on a preceding train that has now been rectified,disruption-reason.e.a fault on a preceding train that has now been rectified,disruption-reason.m.a fault on a preceding train that has now been rectified
914,This train has been delayed by issues with communication systems,disruption-reason.e.signalling difficulties,disruption-reason.m.signalling difficulties,disruption-reason.e.signalling difficulties,disruption-reason.m.signalling difficulties
915,This train has been delayed by a problem in the depot,"disruption-reason.m.the late arrival of the coaches and train crew to form this service,disruption-reason.e.caused by servicing problems in the depot",,"disruption-reason.m.the late arrival of the coaches and train crew to form this service,disruption-reason.e.caused by servicing problems in the depot",
916,This train has been delayed by signalling staff being unavailable,disruption-reason.e.signalling difficulties,disruption-reason.m.signalling difficulties,disruption-reason.e.signalling difficulties,disruption-reason.m.signalling difficulties
917,This train has been delayed by staff training,disruption-reason.e.a staff shortage,disruption-reason.m.a staff shortage,disruption-reason.e.a staff shortage,disruption-reason.m.a staff shortage
918,This train has been delayed by a short-notice change to the timetable,,,,
919,This train has been delayed by misuse of a level crossing,,,,
